name,sku,attribute_set,type,weight,model_no,working_width_inches,manufacture_part_number,item_type,main_category,alternate_category,category_ids,equipment_type,manufacturer_name,power_type,portable_or_stationary,heating_type,diameter_inches,gpm,psi,water_flow_rate_gpm,max_temperature,ship_weight_lbs,maximum_rpm,pump,electrical,cc,amps,start,phase,load_capacity_lbs,engine,hp,pump_rpm,water_tank_gallons,voltage,axle,equipment_video_url,btu,burner,item_customizable,wty_type1,wty_type2,wty_type3,wty_type4,wty_type5,wty_type6,wty_type7,wty_type8,wty_type9,wty_type10,wty_type11,discount_1,discount_2,discount_3,discount_4,product_brochure_url,accessory_one_customize_item,accessory_two_customize_item,accessory_three_customize_item,accessory_four_customize_item,accessory_five_customize_item,accessory_six_customize_item,accessory_seven_customize_item,accessory_eight_customize_item,accessory_nine_customize_item,accessory_ten_customize_item,accessory_elvn_customize_item,accessory_one_item_part,accessory_two_item_part,accessory_three_item_part,accessory_four_item_part,accessory_five_item_part,accessory_six_item_part,accessory_seven_item_part,accessory_eight_item_part,accessory_nine_item_part,accessory_ten_item_part,accessory_elvn_item_part,test,price,short_description,description,qty,status,is_in_stock,visibility,image,small_image,thumbnail,media_gallery,detailed_item_type,dimensions,weight_including_battery,vacuum_motor,battery,moisture_recovery_rate,dust_bag,max_area_perform,brush_rotation_speed,wheels,wheels_front,wheels_back,working_speed,motor_rating,noise_level,power_cable,waterlift_rating,electric_rating,hand_tube,power_rating_fan_pump,waste_container,battery_capacity,air_flow_rating,charger_voltage,brush_contact_pressure,construction,run_time,climbing_ability,battery_charge_time,sweeping_method,brush_rotate_speed_disc_roller,motor,operate_time_carpet_hard_surf,power_supply,brush_cont_press_disc_roller,heater,hose_length_diameter,tank_fresh_dirty,practical_area_performance,filtration_system,solution_flow,spray_pressure_back_pressure,vacuum_working_width,spray_rate,solution_capacity,pad_rotation_speed,optional_brushes,drive,brush_diameter,container_capacity,pad_working_width,brushes,working_width_two_side_brooms,fan_speed_levels,pad_diameter,steam_temp_pressure
BDS 43/175 C,KE98404690,default,simple,105 lbs,BDS 43/175 C,,9.840-469.0,Equipment,Floor Care & General Equipment,,"5, 32",Commercial Floor Care,,,,,,,,,,,,,,,,,,,,,,,,,http://youtu.be/f1qgsByhIRE,,,,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,https://drive.google.com/file/d/0B1jYJotztiSgQWZ5c1JwNktsbUk/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,"$1,475.98",,,1000,1,1,4,BDS 43-175 C Updated.jpg,BDS 43-175 C Updated.jpg,BDS 43-175 C Updated.jpg,,Single Disc,23” x 18” x 47”,,,,,,,,"Two, 5” x 1.25” non-marking",,,,,,,,"115 V, 60 Hz",1.5” (4 cm) cold rolled steel and non-marking PVC grips,,,,,,,Die cast aluminum base and handle housing,,,,,,1.5 hp single speed,,,,,,,,,,,,,,175 rpm,"Nylon, Polypropylene, Mild & Aggressive Grit",,,,,,,,17”,
BDS 51/175 C,KE98404710,default,simple,105 lbs,BDS 51/175 C,,9.840-471.0,Equipment,Floor Care & General Equipment,,"5, 32",Commercial Floor Care,,,,,,,,,,,,,,,,,,,,,,,,,http://youtu.be/f1qgsByhIRE,,,,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,https://drive.google.com/file/d/0B1jYJotztiSgQWZ5c1JwNktsbUk/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,"$1,540.57",,,1000,1,1,4,BDS 43-175 C Updated.jpg,BDS 43-175 C Updated.jpg,BDS 43-175 C Updated.jpg,,Single Disc,23” x 18” x 47”,,,,,,,,"Two, 5” x 1.25” non-marking",,,,,,,,"115 V, 60 Hz",1.5” (4 cm) cold rolled steel and non-marking PVC grips,,,,,,,Die cast aluminum base and handle housing,,,,,,1.5 hp single speed,,,,,,,,,,,,,,175 rpm,"Nylon, Polypropylene, Mild & Aggressive Grit",,,,,,,,20”,
BDS 51/175-300 C,KE98404720,default,simple,105 lbs,BDS 51/175-300 C,,9.840-472.0,Equipment,Floor Care & General Equipment,,"5, 32",Commercial Floor Care,,,,,,,,,,,,,,,,,,,,,,,,,http://youtu.be/f1qgsByhIRE,,,,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,https://drive.google.com/file/d/0B1jYJotztiSgQWZ5c1JwNktsbUk/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,"$1,754.52",,,1000,1,1,4,BDS 43-175 C Updated.jpg,BDS 43-175 C Updated.jpg,BDS 43-175 C Updated.jpg,,Single Disc,24.5” x 21” x 47”,,,,,,,,"Two, 5” x 1.25” non-marking",,,,,,,,"115 V, 60 Hz",1.5” (4 cm) cold rolled steel and non-marking PVC grips,,,,,,,Die cast aluminum base and handle housing,,,,,,"1.75 hp (1305 watt), DC enclosed PM motor",,,,,,,,,,,,,,175-300 rpm,"Nylon, Polypropylene, Mild & Aggressive Grit",,,,,,,,20”,
BDP 51/1500 C,KE98404700,default,simple,92 lbs (41.5 kg),BDP 51/1500 C,,9.840-470.0,Equipment,Floor Care & General Equipment,,"5, 32",Commercial Floor Care,,,,,,,,,,,,,,,,,,,,,,,,,http://youtu.be/f1qgsByhIRE,,,,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,https://drive.google.com/file/d/0B1jYJotztiSgWHZQNll0RXNxSTQ/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,"$1,733.06",,,1000,1,1,4,BDP 51-2000 C.jpg,BDP 51-2000 C.jpg,BDP 51-2000 C.jpg,,Single Disc,16.5” x 13” x 43.5”,,,,,,,,"Four, 5” x 1.25” non-marking",,,,,,,,"115 V, 60 Hz",1.5” (4 cm) cold rolled steel and non-marking PVC grips,,,,,,,Die cast aluminum base and handle housing,,,,,,"1.75 hp (1305 watt), DC enclosed PM motor",,,,,,,,,,,,,,1500 rpm,"Nylon, Polypropylene, Mild & Aggressive Grit",,,,,,,,20”,
BDP 51/2000 C,KE98404680,default,simple,81 lbs (37 kg),BDP 51/2000 C,,9.840-468.0,Equipment,Floor Care & General Equipment,,"5, 32",Commercial Floor Care,,,,,,,,,,,,,,,,,,,,,,,,,http://youtu.be/f1qgsByhIRE,,,,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,https://drive.google.com/file/d/0B1jYJotztiSgWHZQNll0RXNxSTQ/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,"$1,786.71",,,1000,1,1,4,BDP 51-2000 C.jpg,BDP 51-2000 C.jpg,BDP 51-2000 C.jpg,,Single Disc,21.5” x 17” x 46.5”,,,,,,,,"Four, 5” x 1.25” non-marking",,,,,,,,"115 V, 60 Hz",1.5” (4 cm) cold rolled steel and non-marking PVC grips,,,,,,,Die cast aluminum base and handle housing,,,,,,1.5 hp single speed,,,,,,,,,,,,,,2000 rpm,"Nylon, Polypropylene, Mild & Aggressive Grit",,,,,,,,20”,
BDS 43/Duo C,KE98412360,default,simple,102 lbs,BDS 43/Duo C,17”-21” inches,9.841-236.0,Equipment,Floor Care & General Equipment,,"5, 32",Commercial Floor Care,,,,,,,,,,,,,,,,,,,,,,,,,http://youtu.be/f1qgsByhIRE?list=UUb49W-MIH6TeripMLQHzI5Q,,,,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,https://drive.google.com/file/d/0B1jYJotztiSgUXI5REk5djdMdDg/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,"$4,452.74",,,1000,1,1,4,BDS 43 Duo C.jpg,BDS 43 Duo C.jpg,BDS 43 Duo C.jpg,BDS 43-Duo C Storage Updated-01.jpg;BDS 43-Duo C Office Using Brush.png;BDS 43-Duo C Head Close-Up.png;BDS 43-Duo C Hard Surface.png;BDS 43-Duo C Carpet Using Brush.jpg;BDS 43-Duo C Pad Rotation.png,Single Disc,56 x 30 x 50 inches,,,,,,3000 (carpet) / 7500 (hard floor) ft2/h,80 rpm,,,,,,59 dBA,,,,,,,,,,,,,,,,,110/60 VAC/Hz,,,,,,3 gallon,,,,,,,,"1725 rpm vibration (CW), 3/8” dia, 80 rpm rotation (CW) 10”",,,,,,,,,,
BDS 43/Duo C Classic (without solution tank),KE98412370,default,simple,82 lbs,BDS 43/Duo C Classic (without solution tank),17”-21” inches,9.841-237.0,Equipment,Floor Care & General Equipment,,"5, 32",Commercial Floor Care,,,,,,,,,,,,,,,,,,,,,,,,,http://youtu.be/f1qgsByhIRE?list=UUb49W-MIH6TeripMLQHzI5Q,,,,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,https://drive.google.com/file/d/0B1jYJotztiSgUXI5REk5djdMdDg/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,"$3,596.29",,,1000,1,1,4,BDS 43 Duo C Classic Main.jpg,BDS 43 Duo C Classic Main.jpg,BDS 43 Duo C Classic Main.jpg,BDS 43-Duo C Classic Storage.jpg;BDS 43-Duo C Classic Office Using Brush.jpg;BDS 43-Duo C Classic Carpet Using Brush.jpg;BDS 43-Duo C Classic Hard Surface.jpg;,Single Disc,56 x 30 x 50 inches,,,,,,3000 (carpet) / 7500 (hard floor) ft2/h,80 rpm,,,,,,59 dBA,,,,,,,,,,,,,,,,,110/60 VAC/Hz,,,,,,,,,,,,,,"1725 rpm vibration (CW), 3/8” dia, 80 rpm rotation (CW) 10”",,,,,,,,,,
B 60/10 eco Base,KE10067010,default,simple,44 lbs,B 60/10 eco Base,,1.006-701.0,Equipment,Floor Care & General Equipment,For Your Home,"4, 33",Commercial Floor Care,,,,,,,,,,,,,,,,,,,,,,,,,http://youtu.be/NoprNdWM4p0,,,,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,https://drive.google.com/file/d/0B1jYJotztiSgTkxmN3MzMllmWmc/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,$999.00,,,1000,1,1,4,B 60-10 Hygenic Config.jpg,B 60-10 Hygenic Config.jpg,B 60-10 Hygenic Config.jpg,B 60-10 eco Squeegee Close.jpg;B 60-10 eco Squeegee Close 2.jpg;B 60-10 eco Squeegee Close 3.jpg;B 60-10 eco Fluid Close.jpg;B 60-10 eco Gray Water Close.jpg,Micro Scrubbers & Small Area,33” x 21” x 44”,,,,,,"15,840 ft2/h",,,,,,,52 dBa,,,,,,,,,,,,,,,,,,,,,,,2 / 2.5 gallons,,,,,25”,,,,,,,,24”,,,,,
"B 60/10 eco 24"" automop hygiene configuration",KE10067060,default,simple,44 lbs,"B 60/10 eco 24"" automop hygiene configuration",,1.006-706.0,Equipment,Floor Care & General Equipment,For Your Home,"4, 33",Commercial Floor Care,,,,,,,,,,,,,,,,,,,,,,,,,http://youtu.be/NoprNdWM4p0,,,,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,https://drive.google.com/file/d/0B1jYJotztiSgTkxmN3MzMllmWmc/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,"$1,199.00",,,1000,1,1,4,B 60-10 Hygenic Config.jpg,B 60-10 Hygenic Config.jpg,B 60-10 Hygenic Config.jpg,B 60-10 Hygiene Configuration Breakdown 602 x 700.jpg;B 60-10 eco Squeegee Close (1).jpg;B 60-10 eco Squeegee Close 2 (1).jpg;B 60-10 eco Squeegee Close 3 (1).jpg;B 60-10 eco Fluid Close (1).jpg;B 60-10 eco Gray Water Close (1).jpg,Micro Scrubbers & Small Area,33” x 21” x 44”,,,,,,"15,840 ft2/h",,,,,,,52 dBa,,,,,,,,,,,,,,,,,,,,,,,2 / 2.5 gallons,,,,,25”,,,,,,,,24”,,,,,
"B 60/10 eco 24"" automop productivity configuration",KE10067070,default,simple,44 lbs,"B 60/10 eco 24"" automop productivity configuration",,1.006-707.0,Equipment,Floor Care & General Equipment,For Your Home,"4, 33",Commercial Floor Care,,,,,,,,,,,,,,,,,,,,,,,,,http://youtu.be/NoprNdWM4p0,,,,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,https://drive.google.com/file/d/0B1jYJotztiSgTkxmN3MzMllmWmc/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,"$1,399.00",,,1000,1,1,4,B 60-10 Productivity Config.jpg,B 60-10 Productivity Config.jpg,B 60-10 Productivity Config.jpg,B 60-10 Productivity Configuration Breakdown.jpg;B 60-10 eco Squeegee Close (2).jpg;B 60-10 eco Squeegee Close 2 (2).jpg;B 60-10 eco Squeegee Close 3 (2).jpg;B 60-10 eco Fluid Close (2).jpg;B 60-10 eco Gray Water Close (2).jpg,Micro Scrubbers & Small Area,33” x 21” x 44”,,,,,,"15,840 ft2/h",,,,,,,52 dBa,,,,,,,,,,,,,,,,,,,,,,,2 / 2.5 gallons,,,,,25”,,,,,,,,24”,,,,,
"B 60/10 eco 24"" automop detail configuration",KE10067080,default,simple,44 lbs,"B 60/10 eco 24"" automop detail configuration",,1.006-708.0,Equipment,Floor Care & General Equipment,For Your Home,"4, 33",Commercial Floor Care,,,,,,,,,,,,,,,,,,,,,,,,,http://youtu.be/NoprNdWM4p0,,,,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,https://drive.google.com/file/d/0B1jYJotztiSgTkxmN3MzMllmWmc/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,"$1,459.00",,,1000,1,1,4,B 60-10 eco detail config.jpg,B 60-10 eco detail config.jpg,B 60-10 eco detail config.jpg,B 60-10 eco Detail Configuration Breakdown 602 X 700.jpg;B 60-10 eco Squeegee Close (2).jpg;B 60-10 eco Squeegee Close 2 (2).jpg;B 60-10 eco Squeegee Close 3 (2).jpg;B 60-10 eco Fluid Close (2).jpg;B 60-10 eco Gray Water Close (2).jpg,Micro Scrubbers & Small Area,33” x 21” x 44”,,,,,,"15,840 ft2/h",,,,,,,52 dBa,,,,,,,,,,,,,,,,,,,,,,,2 / 2.5 gallons,,,,,25”,,,,,,,,24”,,,,,
BRS 40/1000 C,KE17833320,default,simple,,BRS 40/1000 C,16” inches,1.783-332.0,Equipment,Floor Care & General Equipment,For Your Home,"4, 33",Commercial Floor Care,,,,,,,,,,,,,,,,,,,,,,,,,http://youtu.be/REOZflqN2kM,,,,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,https://drive.google.com/file/d/0B1jYJotztiSgYkZNNkNpazc0a1k/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,"$1,922.24",,,1000,1,1,4,BRS 40-1000 Main.jpg,BRS 40-1000 Main.jpg,BRS 40-1000 Main.jpg,BRS 40-1000 Bottom Picture.jpg;BRS 40-1000 C Operating 2.jpg;BRS 40-1000 C Operating.jpg,Micro Scrubbers & Small Area,20” x 18” x 47”,,,,,,"4,306 ft2 / hr",,,,,,1100 watts,73 dBA,24 Foot,,,,,,,,,,,,,,,,,,"115 V, 60 Hz",,,,,,,,,,,2.5 gallons,650 rpm,,,,,,"Two 16""- Cylindrical",,,,
BR 40/10 C Adv,KE17833120,default,simple,66 lbs (30 kg),BR 40/10 C Adv,16” inches,1.783-312.0,Equipment,Floor Care & General Equipment,,"5, 32",Commercial Floor Care,,,,,,,,,,,,,,,,,,,,,,,,,http://youtu.be/IcOWofNl0K8,,,,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,https://drive.google.com/file/d/0B1jYJotztiSgSzFQQ3JYaGtRNVk/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,"$3,340.23",,,1000,1,1,4,BR 40-10 Main.jpg,BR 40-10 Main.jpg,BR 40-10 Main.jpg,BR 40-10 Brushes.jpg;BR 40-10 C Adv Showroom.jpg;BR 40-10 C Adv Restaurant.jpg;BR 40-10 C Adv Pool.jpg,Micro Scrubbers & Small Area,20.5” x 18.5” x 47”,,.6 hp (500 W),,,,4300 ft2 / hr,650 rpm,,,,,,71 dBA,50‘,,,,,,,,,,,,,,,,,,,1.4 - 2.8 psi / 44 lbs - 88lbs,,,,,,.25-.3 gallons / min,,,,,,,,3.7” (96 mm),,,"Two 16""- Cylindrical",,,,
